age,tenure_years,dependents,num_products,income,credit_score,is_active,has_mortgage,balance,spending_score,city,job_type,target_tier,income_per_dependent,balance_to_income,tenure_per_age
58,8.8,0,2,1052.1,584.0,0,0,490.22,54.4,San Salvador,Clerk,Silver,1052.1,0.4655018516760042,0.14915254237288136
61,8.9,0,1,2649.15,587.0,0,1,888.98,66.9,Santa Ana,Manager,Gold,2649.15,0.33544516348131237,0.1435483870967742
64,6.8,2,2,654.0,588.0,1,1,419.03,48.4,San Salvador,Clerk,Silver,218.0,0.6397404580152671,0.10461538461538461
37,0.0,0,1,2405.12,557.0,1,0,1722.56,99.3,Sonsonate,Professional,Gold,2405.12,0.7159077685235982,0.0
38,4.9,1,1,1356.27,545.0,1,0,850.07,40.9,San Salvador,Technician,Gold,678.135,0.6263086931855858,0.12564102564102564
72,13.9,1,1,2022.25,626.0,0,0,698.42,68.8,La Unión,Manager,Platinum,1011.125,0.34519708389966636,0.19041095890410958
55,9.9,0,1,1205.14,583.0,1,1,576.05,44.3,La Libertad,Professional,Platinum,1205.14,0.4775979571194056,0.1767857142857143
64,7.9,1,1,783.0,564.0,1,0,368.14,42.9,San Miguel,Clerk,Silver,391.5,0.46956632653061225,0.12153846153846154
22,0.9,2,4,550.73,542.0,1,1,379.71,59.2,Santa Ana,Clerk,Silver,183.57666666666668,0.6882170626937089,0.0391304347826087
62,5.4,0,1,913.53,607.0,0,0,449.32,15.3,La Libertad,Manager,Platinum,913.53,0.491312477447432,0.08571428571428572
38,7.2,1,3,957.48,538.0,1,0,632.79,72.1,San Salvador,Technician,Gold,478.74,0.6602015691511559,0.18461538461538463
56,7.1,0,3,507.6,572.0,1,0,371.55,43.3,San Miguel,Self-Employed,Gold,507.6,0.7305348014156507,0.12456140350877193
70,7.5,0,1,158.21,593.0,1,0,80.79,39.8,San Miguel,Student,Silver,158.21,0.5074429998115696,0.1056338028169014
27,0.3,2,3,1109.53,619.0,0,0,254.27,42.5,Sonsonate,Technician,Silver,369.8433333333333,0.2289627475169514,0.010714285714285714
39,4.0,2,3,665.71,525.0,0,0,270.38,36.0,Santa Ana,Clerk,Silver,221.90333333333334,0.40554363966342183,0.1
54,7.7,1,1,975.44,526.0,1,0,411.54,35.4,La Unión,Self-Employed,Silver,487.72,0.42146982917537174,0.14
54,8.3,0,2,473.36,530.0,1,0,241.46,36.4,San Salvador,Clerk,Gold,473.36,0.5090226831941985,0.1509090909090909
55,7.9,0,1,853.84,616.0,0,0,235.46,29.0,Sonsonate,Technician,Silver,853.84,0.27544335782134666,0.14107142857142857
37,2.9,1,3,873.12,564.0,0,0,115.07,52.6,San Miguel,Clerk,Silver,436.56,0.13164096462728228,0.07631578947368421
44,5.6,0,2,2730.66,586.0,1,0,1463.36,97.0,Sonsonate,Professional,Gold,2730.66,0.53570356486532,0.12444444444444444
65,8.6,0,2,364.64,522.0,0,0,178.18,41.4,La Libertad,Student,Silver,364.64,0.48730992232797293,0.1303030303030303
18,0.0,2,3,2103.62,567.0,1,1,630.72,82.9,San Salvador,Self-Employed,Gold,701.2066666666666,0.299683553325541,0.0
58,8.7,0,5,532.81,555.0,1,0,320.92,79.1,Santa Ana,Clerk,Silver,532.81,0.6011876885034002,0.14745762711864405
49,8.0,1,2,1389.3,637.0,0,0,393.82,50.7,San Miguel,Professional,Platinum,694.65,0.2832626051931238,0.16
65,7.5,0,2,934.71,524.0,0,0,421.04,54.6,Sonsonate,Clerk,Silver,934.71,0.4499684731380449,0.11363636363636363
18,0.0,2,1,459.12,557.0,0,0,88.97,39.2,La Libertad,Clerk,Silver,153.04,0.1933626010605929,0.0
72,13.2,0,1,347.79,500.0,1,0,261.55,35.9,La Unión,Clerk,Silver,347.79,0.7498781501763239,0.18082191780821916
72,7.8,1,3,2965.6,589.0,1,1,2010.43,91.1,San Salvador,Manager,Platinum,1482.8,0.6776882626575879,0.10684931506849314
34,1.5,1,2,1150.79,588.0,1,0,489.89,49.3,San Salvador,Technician,Gold,575.395,0.42532927009263843,0.04285714285714286
55,6.0,0,2,1758.21,540.0,1,1,1203.19,81.9,San Miguel,Professional,Gold,1758.21,0.6839376765707335,0.10714285714285714
61,9.8,1,2,862.84,573.0,0,0,301.29,38.9,Santa Ana,Technician,Gold,431.42,0.34877986664197075,0.15806451612903227
64,12.8,1,1,1799.96,608.0,1,1,944.12,61.8,San Miguel,Professional,Gold,899.98,0.5242315209665955,0.19692307692307692
23,2.2,0,2,1731.73,611.0,1,0,775.96,72.5,La Libertad,Manager,Platinum,1731.73,0.4478251083550236,0.09166666666666667
65,10.1,0,1,606.79,611.0,1,0,387.4,49.8,Santa Ana,Clerk,Gold,606.79,0.6373912041988187,0.15303030303030302
72,5.8,0,3,3091.58,615.0,1,1,2059.53,100.0,San Miguel,Manager,Platinum,3091.58,0.6659585200706207,0.07945205479452054
21,1.5,0,2,375.05,466.0,0,0,236.57,33.8,La Unión,Student,Silver,375.05,0.6290918760803085,0.06818181818181818
31,3.0,1,1,1674.38,564.0,0,0,380.76,47.5,San Salvador,Professional,Gold,837.19,0.22726784371306805,0.09375
24,1.7,1,3,234.42,536.0,1,0,143.74,51.4,La Libertad,Student,Silver,117.21,0.6105683459349249,0.068
46,7.0,2,2,514.14,516.0,1,0,316.65,38.5,Santa Ana,Clerk,Silver,171.38,0.6146872694801413,0.14893617021276595
46,4.3,0,1,1198.69,532.0,0,0,292.07,31.4,Santa Ana,Professional,Silver,1198.69,0.2434545590944327,0.09148936170212765
39,3.9,3,3,2219.89,543.0,0,0,998.5,73.5,San Salvador,Technician,Silver,554.9725,0.4495945319218872,0.0975
40,6.5,0,3,899.53,624.0,0,0,380.26,63.2,San Miguel,Technician,Silver,899.53,0.42226244544879127,0.15853658536585366
70,9.2,1,1,338.49,525.0,1,1,229.99,37.5,Sonsonate,Clerk,Silver,169.245,0.6774573625143597,0.1295774647887324
39,4.3,2,2,596.7,494.0,1,0,279.71,43.8,San Salvador,Clerk,Silver,198.9,0.4679772461100886,0.1075
37,7.8,0,1,864.26,583.0,0,0,287.52,23.5,La Unión,Clerk,Silver,864.26,0.3322931835517648,0.20526315789473684
70,9.6,0,3,730.98,526.0,0,1,144.72,22.8,San Salvador,Clerk,Gold,730.98,0.1977103199540971,0.1352112676056338
21,3.4,0,1,486.05,593.0,1,0,303.77,24.0,San Salvador,Technician,Platinum,486.05,0.6236936659480545,0.15454545454545454
67,9.8,0,3,927.29,549.0,0,0,306.53,41.4,San Salvador,Technician,Gold,927.29,0.3302093095907529,0.14411764705882354
59,9.0,1,1,1182.35,514.0,1,0,549.62,75.5,La Libertad,Professional,Gold,591.175,0.4644610639286771,0.15
40,3.3,1,2,435.33,519.0,0,0,222.16,35.2,San Miguel,Clerk,Silver,217.665,0.509155914101712,0.08048780487804878
60,8.8,0,1,1901.94,591.0,1,0,953.74,61.4,San Salvador,Professional,Platinum,1901.94,0.5011928910002417,0.14426229508196722
54,4.0,1,2,1126.68,601.0,1,1,650.66,61.1,Santa Ana,Technician,Gold,563.34,0.5769899262202043,0.07272727272727272
51,4.7,2,1,492.99,464.0,1,0,229.53,32.8,San Miguel,Clerk,Silver,164.33,0.46464503330026924,0.09038461538461538
30,5.1,1,4,983.49,569.0,1,0,474.79,53.7,La Unión,Clerk,Silver,491.745,0.4822700078213085,0.16451612903225804
52,5.6,2,1,1251.9,525.0,1,1,763.58,68.6,San Miguel,Technician,Gold,417.3,0.6094500758240881,0.10566037735849056
63,12.5,0,1,3070.54,634.0,0,1,1523.52,70.1,San Salvador,Professional,Gold,3070.54,0.496011772596157,0.1953125
33,3.7,1,3,1341.39,562.0,1,0,756.61,70.4,San Salvador,Professional,Platinum,670.695,0.5636290496800482,0.10882352941176471
52,8.2,0,5,821.16,584.0,0,0,445.59,43.4,La Libertad,Professional,Platinum,821.16,0.5419747980928287,0.15471698113207547
52,8.3,3,1,550.35,509.0,0,0,304.63,19.0,Santa Ana,Clerk,Silver,137.5875,0.5525165502856625,0.15660377358490568
20,4.8,0,2,973.4,548.0,0,0,372.77,50.5,San Salvador,Clerk,Silver,973.4,0.3825636288998358,0.22857142857142856
29,0.0,0,1,569.65,514.0,0,0,244.17,18.6,La Unión,Clerk,Silver,569.65,0.4278804871637606,0.0
29,3.6,0,1,1786.29,540.0,1,1,863.47,62.1,Santa Ana,Professional,Gold,1786.29,0.4831168976495141,0.12000000000000001
34,0.0,3,1,2463.42,613.0,0,1,971.38,41.0,Santa Ana,Professional,Gold,615.855,0.3941617094488764,0.0
58,7.3,1,3,1005.79,554.0,1,0,718.16,50.7,La Libertad,Professional,Gold,502.895,0.7133165804189553,0.12372881355932203
55,5.7,0,3,1837.11,591.0,0,0,170.95,57.4,La Unión,Self-Employed,Silver,1837.11,0.09300313909396064,0.10178571428571428
71,10.1,2,4,1378.48,584.0,1,0,605.6,68.0,Santa Ana,Technician,Gold,459.49333333333334,0.4390060022617218,0.14027777777777778
54,8.9,2,2,1355.07,621.0,1,0,566.39,63.1,Santa Ana,Manager,Platinum,451.69,0.4176701792680319,0.16181818181818183
24,0.3,2,1,712.6,514.0,1,0,451.59,52.9,Santa Ana,Clerk,Silver,237.53333333333333,0.6328335201793721,0.012
50,8.5,1,3,1364.04,520.0,1,0,479.52,59.6,San Salvador,Clerk,Silver,682.02,0.3512864091894743,0.16666666666666666
69,11.0,0,1,816.73,529.0,0,0,401.45,21.7,San Salvador,Professional,Platinum,816.73,0.49093221478972277,0.15714285714285714
35,0.7,1,2,731.06,544.0,1,0,230.94,51.7,San Miguel,Technician,Silver,365.53,0.31546594541431033,0.019444444444444445
22,2.3,2,4,440.36,514.0,1,0,237.73,49.8,La Unión,Clerk,Silver,146.78666666666666,0.5386305963385898,0.09999999999999999
48,11.0,0,3,859.28,552.0,0,0,153.05,44.9,San Salvador,Clerk,Silver,859.28,0.177907193006928,0.22448979591836735
52,4.9,1,1,910.82,538.0,0,0,297.36,46.1,San Salvador,Self-Employed,Gold,455.41,0.3261169967756794,0.09245283018867925
35,4.4,0,2,2351.61,587.0,0,0,404.94,64.9,La Libertad,Manager,Platinum,2351.61,0.17212372641449283,0.12222222222222223
46,1.6,3,1,906.67,567.0,0,0,505.14,27.9,La Libertad,Student,Silver,226.6675,0.5565238467725054,0.03404255319148936
35,4.7,2,2,417.0,526.0,0,0,150.03,21.8,La Unión,Student,Silver,139.0,0.35892344497607653,0.13055555555555556
60,7.1,0,1,1124.63,566.0,1,0,598.84,55.6,San Salvador,Technician,Gold,1124.63,0.5320042998143262,0.11639344262295082
46,5.2,0,3,1058.46,540.0,0,0,480.08,38.8,La Unión,Self-Employed,Silver,1058.46,0.4531365035017839,0.11063829787234043
61,11.1,1,3,1468.74,569.0,0,1,886.84,74.3,San Salvador,Clerk,Gold,734.37,0.6033992406820254,0.17903225806451611
44,4.2,4,2,628.86,546.0,0,1,259.1,18.5,La Libertad,Clerk,Silver,125.772,0.4113612548820373,0.09333333333333334
18,0.8,2,2,2205.08,545.0,0,0,592.88,59.3,Sonsonate,Manager,Gold,735.0266666666666,0.26874818682912677,0.042105263157894736
43,1.1,0,2,621.68,597.0,0,0,383.14,33.7,Santa Ana,Clerk,Silver,621.68,0.615308023382797,0.025
24,0.2,0,3,916.23,630.0,0,0,402.65,50.2,Santa Ana,Professional,Platinum,916.23,0.4389847693599206,0.008
48,6.8,0,1,1683.15,504.0,1,0,459.68,57.7,La Libertad,Technician,Silver,1683.15,0.27294480895407175,0.13877551020408163
49,10.8,0,2,1891.04,602.0,0,1,839.98,75.2,La Libertad,Self-Employed,Gold,1891.04,0.44395467326272176,0.21600000000000003
20,1.8,1,3,1028.37,532.0,0,0,795.06,52.2,La Unión,Clerk,Silver,514.185,0.7723753363707899,0.08571428571428572
42,6.0,3,2,1776.95,487.0,0,0,951.19,53.2,San Salvador,Technician,Gold,444.2375,0.5349925475969516,0.13953488372093023
20,0.5,2,3,1705.53,568.0,1,0,822.36,86.6,San Salvador,Self-Employed,Gold,568.51,0.48189015135977686,0.023809523809523808
27,2.6,0,1,874.13,603.0,1,1,748.68,34.9,La Libertad,Clerk,Silver,874.13,0.855507181790134,0.09285714285714286
40,3.7,0,2,490.74,557.0,1,0,281.8,41.2,San Miguel,Clerk,Gold,490.74,0.5730670679627445,0.0902439024390244
47,7.9,1,5,1765.63,534.0,0,0,726.13,64.9,San Salvador,Professional,Platinum,882.815,0.41102551185024594,0.16458333333333333
49,5.5,0,2,2394.46,511.0,0,0,1096.34,58.1,San Salvador,Professional,Gold,2394.46,0.4576741001728269,0.11
27,2.9,0,1,611.05,537.0,0,1,357.42,38.2,San Miguel,Technician,Gold,611.05,0.5839718977207745,0.10357142857142856
56,3.8,1,2,1455.27,610.0,0,0,521.26,44.6,La Libertad,Technician,Gold,727.635,0.3579418651761006,0.06666666666666667
34,2.1,1,1,1130.79,518.0,1,0,592.01,53.5,Santa Ana,Professional,Gold,565.395,0.5230740685109428,0.060000000000000005
23,0.7,2,1,826.62,550.0,0,0,352.39,43.2,San Miguel,Technician,Silver,275.54,0.4257871970227882,0.029166666666666664
59,10.3,0,3,414.32,544.0,0,0,116.69,34.5,Santa Ana,Student,Silver,414.32,0.2809640758932871,0.1716666666666667
38,2.6,0,1,768.67,555.0,0,0,275.63,22.9,La Unión,Technician,Silver,768.67,0.3581145166110151,0.06666666666666667
74,11.7,4,1,2491.09,619.0,1,0,1299.72,80.4,La Libertad,Manager,Platinum,498.218,0.5215381466961466,0.156
61,8.3,0,1,1117.82,502.0,1,0,708.24,39.1,Santa Ana,Professional,Gold,1117.82,0.6330240789403122,0.1338709677419355
61,9.6,0,4,1206.4,541.0,1,1,871.59,90.0,Sonsonate,Professional,Gold,1206.4,0.7218734470763624,0.15483870967741936
24,1.0,0,1,2090.45,523.0,0,0,746.6,42.4,San Salvador,Self-Employed,Gold,2090.45,0.3569772167634895,0.04
20,0.0,0,2,2274.38,562.0,0,0,384.1,69.6,San Miguel,Professional,Gold,2274.38,0.16880696850635937,0.0
40,2.4,1,2,746.79,502.0,0,0,295.86,24.1,San Salvador,Clerk,Silver,373.395,0.3956458363979192,0.058536585365853655
34,4.5,0,4,877.3,558.0,1,1,660.38,63.5,Santa Ana,Technician,Gold,877.3,0.7518843219856541,0.12857142857142856
67,9.7,0,3,460.93,628.0,0,0,97.18,29.3,Santa Ana,Clerk,Silver,460.93,0.2103781958305371,0.1426470588235294
47,6.3,1,1,260.42,578.0,0,0,112.4,8.2,La Unión,Student,Silver,130.21,0.4299594522224772,0.13125
28,3.1,0,2,4044.82,551.0,1,1,1802.53,100.0,Santa Ana,Manager,Platinum,4044.82,0.44552896569793016,0.10689655172413794
68,7.8,0,1,477.15,574.0,1,0,349.64,37.7,San Salvador,Student,Silver,477.15,0.7312349681062428,0.11304347826086956
29,3.3,2,1,1098.39,517.0,1,0,664.04,66.9,San Salvador,Clerk,Silver,366.13000000000005,0.6040076769845095,0.11
34,1.5,1,1,1248.36,537.0,0,0,680.59,36.0,San Miguel,Technician,Silver,624.18,0.5447509124671832,0.04285714285714286
26,1.0,1,3,1207.97,524.0,0,0,326.72,49.1,Santa Ana,Professional,Gold,603.985,0.2702465735295334,0.037037037037037035
38,0.0,1,1,898.32,492.0,1,0,557.83,62.3,Sonsonate,Clerk,Silver,449.16,0.6202797669350176,0.0
67,9.3,1,2,1745.46,508.0,0,0,1001.32,68.0,San Salvador,Self-Employed,Gold,872.73,0.5733426474124801,0.13676470588235295
34,2.7,0,3,2193.11,521.0,1,0,1228.76,81.5,San Salvador,Manager,Platinum,2193.11,0.56002661671475,0.07714285714285715
61,11.6,3,4,414.61,602.0,0,0,139.22,30.8,Santa Ana,Clerk,Silver,103.6525,0.3349775029474748,0.1870967741935484
30,0.3,0,1,467.66,586.0,1,0,354.24,38.0,Santa Ana,Clerk,Silver,467.66,0.755857124567917,0.00967741935483871
19,3.4,0,4,335.01,510.0,1,0,265.89,35.9,La Libertad,Student,Silver,335.01,0.7913157346507544,0.16999999999999998
52,5.5,0,3,861.59,566.0,0,0,297.48,33.9,San Salvador,Technician,Silver,861.59,0.3448683615622718,0.10377358490566038
49,6.0,0,2,1583.16,567.0,1,1,805.09,73.4,La Unión,Professional,Silver,1583.16,0.5082125542874457,0.12
